Release date	Max resolution	Low resolution	Effective pixels	Zoom wide (W)	Zoom tele (T)	Normal focus range	Macro focus range	Storage included	Weight (inc. batteries)	Dimensions	Price
1997	1024	640	0	38	114	70	40	4	420	95	179
1998	1280	640	1	38	114	50	0	4	420	158	179
2000	640	0	0	45	45	0	0	2	0	0	179
1999	1152	640	0	35	35	0	0	4	0	0	269
1999	1152	640	0	43	43	50	0	40	300	128	1299
2001	1600	640	1	51	51	50	20	8	270	119	179
1999	1280	640	1	34	102	0	0	8	0	0	179
1997	640	0	0	42	42	70	3	2	320	93	149
1996	832	640	0	50	50	40	10	1	460	160	139
2001	1280	1024	1	35	105	76	16	8	375	110	139
2002	1280	1024	1	39	39	20	5	8	225	110	139
2001	1600	1024	1	35	105	76	16	8	375	110	139
2002	1600	1024	1	39	39	20	5	8	225	110	139
2002	1280	1024	1	35	105	76	16	8	350	110	139
2003	2048	1600	3	33	33	20	5	32	225	111	139
2004	2048	1600	3	33	33	0	5	0	205	110	139
2002	1600	1024	1	35	105	76	16	8	350	110	139
2004	2048	1600	3	45	100	0	5	16	255	107	139
2005	2048	1600	3	41	131	0	1	16	195	103	139
2006	2272	1600	4	39	125	47	1	16	200	103	139
2006	2272	1600	4	39	156	47	1	16	210	103	139
2007	2592	2048	5	38	122	47	1	16	215	106	139
2007	2592	2048	5	38	152	47	1	16	215	106	139
1998	1024	512	0	35	35	50	9	8	240	105	149
1999	1280	640	1	28	70	50	17	8	290	103	149
2005	2048	1600	3	35	140	0	5	16	230	91	139
2005	2272	1600	3	35	140	0	5	16	230	91	149
2006	2592	2048	5	35	140	45	5	16	220	90	149
2006	2816	2272	6	35	140	45	5	16	230	90	149
2007	3072	2592	7	35	140	45	5	16	210	91	149
2007	3072	2592	7	35	140	45	5	16	205	91	149
2007	3072	2592	7	35	140	45	5	16	215	90	149
1999	1024	512	0	28	70	50	17	8	290	103	149
2003	1600	1024	1	35	105	46	5	16	315	101	139
2005	2592	2592	5	35	140	0	1	16	285	105	139
2005	3072	3072	7	35	140	0	1	32	285	105	139
2006	3264	2592	8	35	140	0	1	16	315	109	139
2006	3648	2816	10	35	140	0	1	32	315	109	139
2007	4000	3264	12	35	210	0	1	32	300	97	399
2003	2048	1600	3	35	105	46	5	16	315	101	139
2006	2816	2272	6	35	210	55	1	16	250	94	139
2006	3072	2592	7	35	210	55	1	16	210	98	139
2007	3264	2592	8	35	210	55	1	16	250	97	399
2004	2048	1600	3	35	105	46	5	32	315	101	139
2003	2272	1600	3	38	114	46	5	32	350	103	139
2004	2272	1600	4	35	105	0	5	32	300	101	139
2004	2592	2048	5	38	114	45	5	32	335	101	139
2003	3072	2048	6	0	0	0	0	0	875	150	1299
2001	2464	1232	4	0	0	0	0	0	1585	156	4499
2004	3504	3104	8	0	0	0	0	0	1565	156	4499
2007	3888	3456	10	0	0	0	0	0	1335	156	4499
2005	3504	3104	8	0	0	0	0	0	1565	156	4499
2002	4064	2032	11	0	0	0	0	0	1585	156	7999
2004	4992	3600	16	0	0	0	0	0	1565	156	7999
2007	5616	4992	21	0	0	0	0	0	1385	150	7999
2004	3504	2544	8	0	0	0	0	0	770	144	1299
2005	3504	2544	8	0	0	0	0	0	770	144	1299
2003	3072	2048	6	0	0	0	0	0	645	142	1299
2006	3504	2544	8	0	0	0	0	0	784	144	1299
2005	3456	2496	8	0	0	0	0	0	540	127	1299
2006	3888	2816	10	0	0	0	0	0	556	127	1299
2007	3888	2816	10	0	0	0	0	0	822	146	1299
2005	4368	3168	12	0	0	0	0	0	895	152	2499
2000	2160	1440	3	0	0	0	0	16	855	150	549
2002	3072	2048	6	0	0	0	0	16	855	150	549
2000	2048	1024	3	34	102	70	6	16	490	120	499
2001	2272	1600	3	34	102	70	6	32	510	121	499
2002	2272	1600	3	35	140	50	5	32	490	121	499
2003	2592	1600	5	35	140	50	5	32	490	121	149
2004	3072	2592	7	35	140	50	5	32	467	105	499
2006	3648	2816	10	35	210	50	1	32	380	106	499
2007	4000	3264	12	35	210	50	1	32	370	106	499
2004	3264	2272	8	28	200	50	3	64	640	118	139
1998	1536	768	1	28	70	32	12	8	800	148	199
2001	1856	1024	2	37	370	10	10	16	680	127	384
1999	1600	1280	1	35	70	46	12	8	320	106	399
2000	1600	640	1	35	70	57	10	8	250	87	199
2001	1600	1024	1	35	70	57	10	8	250	87	199
2004	2048	1600	3	38	380	10	10	32	469	111	399
2000	2048	1024	3	32	64	66	12	16	320	106	399
2002	1600	1024	1	35	70	57	10	8	250	87	199
2002	2048	1600	3	35	70	47	10	16	250	87	199
2005	2592	2048	5	36	432	50	10	16	505	113	399
2001	2048	1600	3	35	105	80	10	16	323	112	399
2001	1600	1024	1	35	105	76	16	8	270	95	199
2002	1600	1024	1	35	105	76	16	8	274	95	199
2006	2816	2272	6	36	432	50	10	16	510	113	399
2001	2272	1600	3	35	105	80	10	16	323	112	139
2003	2272	1600	3	36	108	46	5	32	230	87	139
2004	2272	1600	3	36	108	0	5	32	215	87	139
2002	2272	1600	3	35	105	50	10	32	323	112	139
2003	2592	1600	5	35	105	50	10	32	323	112	399
2004	2592	2048	5	36	108	0	5	32	215	87	149
2007	3264	2272	8	36	432	50	10	32	550	117	399
2004	2592	1600	5	28	100	50	4	32	300	114	399
2004	3072	2592	7	28	100	50	4	32	300	114	399
2005	3264	2592	8	28	100	50	4	32	290	104	399
2003	2272	1600	3	38	38	0	3	32	140	90	199
2003	2048	1600	3	35	70	47	10	16	185	85	199
2007	3072	2592	7	35	105	0	5	32	175	86	199
2004	2048	1600	3	35	70	0	10	16	195	85	199
2004	2592	2048	5	39	39	0	3	32	140	90	199
2004	2048	1600	3	35	105	0	3	16	135	86	199
2005	2592	2048	5	38	90	0	10	16	120	96	199
2004	2272	1600	3	35	105	0	3	16	147	86	199
2006	3072	2592	7	38	90	0	10	16	120	96	199
2005	2592	2048	5	35	105	0	3	16	150	86	199
2005	2592	2048	5	35	105	0	3	16	185	99	199
2005	2592	2048	5	35	105	0	3	16	155	86	199
2005	3072	2592	7	37	111	0	5	32	200	90	199
2005	3072	2592	7	37	111	0	5	32	185	90	199
2006	2816	2272	6	35	105	30	3	16	170	86	199
2006	2816	2272	6	35	105	30	3	16	175	90	199
2006	2816	2272	6	35	140	45	2	16	195	90	384
2007	3072	2592	7	35	105	0	5	32	170	92	384
2006	3072	2592	7	28	105	0	3	16	195	90	384
